benchmark_id,deadline_s,policy_a,policy_b,mean_utility_a,mean_utility_b,mean_difference,final_e_value,seq_decision,seq_stop_step,fixed_p_value,fixed_reject,naive_stop_step,naive_final_p_value
math_gsm8k_actual_qwen3b_v2,0.1,greedy,self_consistency_3,0.033333,0.05,-0.016667,0.27963333,continue,,0.9375,False,,0.9375
math_gsm8k_actual_qwen3b_v2,0.1,self_consistency_3,greedy,0.05,0.033333,0.016667,1.37963333,continue,,0.3125,False,,0.3125
math_gsm8k_actual_qwen3b_v2,0.1,self_consistency_3,budget_branch,0.05,0.033333,0.016667,1.37963333,continue,,0.3125,False,,0.3125
math_gsm8k_actual_qwen3b_v2,0.1,budget_branch,self_consistency_3,0.033333,0.05,-0.016667,0.27963333,continue,,0.9375,False,,0.9375
math_gsm8k_actual_qwen3b_v2,0.15,greedy,self_consistency_3,0.033333,0.058333,-0.025,0.20648333,continue,,0.96875,False,,0.96875
math_gsm8k_actual_qwen3b_v2,0.15,self_consistency_3,greedy,0.058333,0.033333,0.025,2.03798333,continue,,0.1875,False,,0.1875
math_gsm8k_actual_qwen3b_v2,0.15,self_consistency_3,budget_branch,0.058333,0.05,0.008333,0.95833333,continue,,0.5,False,,0.5
math_gsm8k_actual_qwen3b_v2,0.15,budget_branch,self_consistency_3,0.05,0.058333,-0.008333,0.40833333,continue,,0.875,False,,0.875
math_gsm8k_actual_qwen3b_v2,0.2,greedy,self_consistency_3,0.033333,0.058333,-0.025,0.20648333,continue,,0.96875,False,,0.96875
math_gsm8k_actual_qwen3b_v2,0.2,self_consistency_3,greedy,0.058333,0.033333,0.025,2.03798333,continue,,0.1875,False,,0.1875
math_gsm8k_actual_qwen3b_v2,0.2,self_consistency_3,budget_branch,0.058333,0.05,0.008333,0.95833333,continue,,0.5,False,,0.5
math_gsm8k_actual_qwen3b_v2,0.2,budget_branch,self_consistency_3,0.05,0.058333,-0.008333,0.40833333,continue,,0.875,False,,0.875
reasoning_bbh_exact_actual_qwen3b_v2,0.1,greedy,budget_branch,0.258333,0.283333,-0.025,0.225,continue,,1.0,False,,1.0
reasoning_bbh_exact_actual_qwen3b_v2,0.1,budget_branch,greedy,0.283333,0.258333,0.025,3.675,continue,,0.125,False,,0.125
reasoning_bbh_exact_actual_qwen3b_v2,0.15,greedy,budget_branch,0.258333,0.275,-0.016667,0.27963333,continue,,0.9375,False,,0.9375
reasoning_bbh_exact_actual_qwen3b_v2,0.15,budget_branch,greedy,0.275,0.258333,0.016667,1.37963333,continue,,0.3125,False,,0.3125
reasoning_bbh_exact_actual_qwen3b_v2,0.2,greedy,budget_branch,0.258333,0.275,-0.016667,0.27963333,continue,,0.9375,False,,0.9375
reasoning_bbh_exact_actual_qwen3b_v2,0.2,budget_branch,greedy,0.275,0.258333,0.016667,1.37963333,continue,,0.3125,False,,0.3125
knowledge_arc_actual_qwen3b_v2,0.1,self_consistency_3,budget_branch,0.425,0.416667,0.008333,0.72128333,continue,,0.5,False,,0.5
knowledge_arc_actual_qwen3b_v2,0.1,budget_branch,self_consistency_3,0.416667,0.425,-0.008333,0.35278333,continue,,0.8125,False,,0.8125
knowledge_arc_actual_qwen3b_v2,0.15,self_consistency_3,budget_branch,0.433333,0.441667,-0.008334,0.40833333,continue,,0.875,False,,0.875
knowledge_arc_actual_qwen3b_v2,0.15,budget_branch,self_consistency_3,0.441667,0.433333,0.008334,0.95833333,continue,,0.5,False,,0.5
knowledge_arc_actual_qwen3b_v2,0.2,self_consistency_3,budget_branch,0.433333,0.45,-0.016667,0.31666667,continue,,1.0,False,,1.0
knowledge_arc_actual_qwen3b_v2,0.2,budget_branch,self_consistency_3,0.45,0.433333,0.016667,2.31666667,continue,,0.25,False,,0.25
language_cola_actual_qwen3b_v2,0.1,greedy,self_consistency_3,0.108333,0.1,0.008333,0.72128333,continue,,0.5,False,,0.5
language_cola_actual_qwen3b_v2,0.1,self_consistency_3,greedy,0.1,0.108333,-0.008333,0.35278333,continue,,0.8125,False,,0.8125
language_cola_actual_qwen3b_v2,0.15,greedy,self_consistency_3,0.233333,0.241667,-0.008334,0.35278333,continue,,0.8125,False,,0.8125
language_cola_actual_qwen3b_v2,0.15,self_consistency_3,greedy,0.241667,0.233333,0.008334,0.72128333,continue,,0.5,False,,0.5
language_cola_actual_qwen3b_v2,0.2,greedy,self_consistency_3,0.233333,0.25,-0.016667,0.27963333,continue,,0.9375,False,,0.9375
language_cola_actual_qwen3b_v2,0.2,self_consistency_3,greedy,0.25,0.233333,0.016667,1.37963333,continue,,0.3125,False,,0.3125
