benchmark_id,difficulty,policy_id,deadline_s,deadline_label,mean_utility,prompt_count,mean_latency_s
knowledge_arc_actual_qwen3b_v2,medium,budget_branch,0.1,0.1,0.416667,120,0.052843
knowledge_arc_actual_qwen3b_v2,medium,greedy,0.1,0.1,0.416667,120,0.052051
knowledge_arc_actual_qwen3b_v2,medium,selective_abstain,0.1,0.1,0.408333,120,0.052051
knowledge_arc_actual_qwen3b_v2,medium,self_consistency_3,0.1,0.1,0.425,120,0.073492
knowledge_arc_actual_qwen3b_v2,medium,budget_branch,0.15,0.15,0.441667,120,0.059411
knowledge_arc_actual_qwen3b_v2,medium,greedy,0.15,0.15,0.433333,120,0.056043
knowledge_arc_actual_qwen3b_v2,medium,selective_abstain,0.15,0.15,0.425,120,0.056043
knowledge_arc_actual_qwen3b_v2,medium,self_consistency_3,0.15,0.15,0.433333,120,0.12383
knowledge_arc_actual_qwen3b_v2,medium,budget_branch,0.2,0.2,0.45,120,0.060979
knowledge_arc_actual_qwen3b_v2,medium,greedy,0.2,0.2,0.441667,120,0.057663
knowledge_arc_actual_qwen3b_v2,medium,selective_abstain,0.2,0.2,0.433333,120,0.057663
knowledge_arc_actual_qwen3b_v2,medium,self_consistency_3,0.2,0.2,0.433333,120,0.151226
language_cola_actual_qwen3b_v2,medium,budget_branch,0.1,0.1,0.1,120,0.082039
language_cola_actual_qwen3b_v2,medium,greedy,0.1,0.1,0.108333,120,0.078644
language_cola_actual_qwen3b_v2,medium,selective_abstain,0.1,0.1,0.091667,120,0.078644
language_cola_actual_qwen3b_v2,medium,self_consistency_3,0.1,0.1,0.1,120,0.084412
language_cola_actual_qwen3b_v2,medium,budget_branch,0.15,0.15,0.225,120,0.111127
language_cola_actual_qwen3b_v2,medium,greedy,0.15,0.15,0.233333,120,0.109338
language_cola_actual_qwen3b_v2,medium,selective_abstain,0.15,0.15,0.216667,120,0.109338
language_cola_actual_qwen3b_v2,medium,self_consistency_3,0.15,0.15,0.241667,120,0.115108
language_cola_actual_qwen3b_v2,medium,budget_branch,0.2,0.2,0.225,120,0.111127
language_cola_actual_qwen3b_v2,medium,greedy,0.2,0.2,0.233333,120,0.109338
language_cola_actual_qwen3b_v2,medium,selective_abstain,0.2,0.2,0.216667,120,0.109338
language_cola_actual_qwen3b_v2,medium,self_consistency_3,0.2,0.2,0.25,120,0.134154
math_gsm8k_actual_qwen3b_v2,medium,budget_branch,0.1,0.1,0.033333,120,0.069887
math_gsm8k_actual_qwen3b_v2,medium,greedy,0.1,0.1,0.033333,120,0.067724
math_gsm8k_actual_qwen3b_v2,medium,selective_abstain,0.1,0.1,0.025,120,0.067724
math_gsm8k_actual_qwen3b_v2,medium,self_consistency_3,0.1,0.1,0.05,120,0.07269
math_gsm8k_actual_qwen3b_v2,medium,budget_branch,0.15,0.15,0.05,120,0.085537
math_gsm8k_actual_qwen3b_v2,medium,greedy,0.15,0.15,0.033333,120,0.075825
math_gsm8k_actual_qwen3b_v2,medium,selective_abstain,0.15,0.15,0.025,120,0.075825
math_gsm8k_actual_qwen3b_v2,medium,self_consistency_3,0.15,0.15,0.058333,120,0.107896
math_gsm8k_actual_qwen3b_v2,medium,budget_branch,0.2,0.2,0.05,120,0.099086
math_gsm8k_actual_qwen3b_v2,medium,greedy,0.2,0.2,0.033333,120,0.081669
math_gsm8k_actual_qwen3b_v2,medium,selective_abstain,0.2,0.2,0.025,120,0.081669
math_gsm8k_actual_qwen3b_v2,medium,self_consistency_3,0.2,0.2,0.058333,120,0.157842
reasoning_bbh_exact_actual_qwen3b_v2,medium,budget_branch,0.1,0.1,0.283333,120,0.049451
reasoning_bbh_exact_actual_qwen3b_v2,medium,greedy,0.1,0.1,0.258333,120,0.043863
reasoning_bbh_exact_actual_qwen3b_v2,medium,selective_abstain,0.1,0.1,0.25,120,0.043863
reasoning_bbh_exact_actual_qwen3b_v2,medium,self_consistency_3,0.1,0.1,0.241667,120,0.078171
reasoning_bbh_exact_actual_qwen3b_v2,medium,budget_branch,0.15,0.15,0.275,120,0.050303
reasoning_bbh_exact_actual_qwen3b_v2,medium,greedy,0.15,0.15,0.258333,120,0.043863
reasoning_bbh_exact_actual_qwen3b_v2,medium,selective_abstain,0.15,0.15,0.25,120,0.043863
reasoning_bbh_exact_actual_qwen3b_v2,medium,self_consistency_3,0.15,0.15,0.25,120,0.123025
reasoning_bbh_exact_actual_qwen3b_v2,medium,budget_branch,0.2,0.2,0.275,120,0.050303
reasoning_bbh_exact_actual_qwen3b_v2,medium,greedy,0.2,0.2,0.258333,120,0.043863
reasoning_bbh_exact_actual_qwen3b_v2,medium,selective_abstain,0.2,0.2,0.25,120,0.043863
reasoning_bbh_exact_actual_qwen3b_v2,medium,self_consistency_3,0.2,0.2,0.25,120,0.134279
