prompts,win_probability,expected_mean_difference,sequential_power,fixed_power,naive_reject_rate,median_sequential_stop_step,mean_sequential_stop_step
40,0.55,0.065,0.065,0.105,0.218,17.0,20.82
80,0.55,0.065,0.097,0.156,0.341,26.0,30.39
120,0.55,0.065,0.104,0.188,0.438,36.5,45.55
160,0.55,0.065,0.118,0.253,0.474,52.0,61.84
40,0.6,0.13,0.122,0.216,0.361,21.0,21.88
80,0.6,0.13,0.223,0.387,0.604,34.0,36.96
120,0.6,0.13,0.275,0.517,0.699,49.0,53.83
160,0.6,0.13,0.332,0.596,0.772,63.0,70.79
40,0.65,0.195,0.242,0.371,0.561,20.5,21.97
80,0.65,0.195,0.415,0.653,0.807,37.0,38.75
120,0.65,0.195,0.604,0.828,0.928,54.0,56.79
160,0.65,0.195,0.688,0.915,0.96,62.0,69.2
40,0.7,0.26,0.397,0.583,0.736,20.0,21.7
80,0.7,0.26,0.676,0.879,0.94,34.5,37.88
120,0.7,0.26,0.876,0.972,0.99,47.0,50.38
160,0.7,0.26,0.941,0.998,0.998,52.0,58.93
